run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
5,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.47441667318344116, 0.6369166374206543, 0.8031333088874817, 0.8499166369438171, 0.8648166656494141, 0.918666660785675, 0.9368500113487244, 0.9388166666030884, 0.9509333372116089, 0.9518166780471802, 0.9648000001907349, 0.9799166917800903, 0.9803166389465332, 0.9803166389465332, 0.9853833317756653, 0.9853833317756653, 0.9870333075523376, 0.9879500269889832, 0.9887166619300842, 0.9887833595275879]"
6,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.6231666803359985, 0.6468499898910522, 0.6485666632652283, 0.7264000177383423, 0.729116678237915, 0.7423999905586243, 0.7447333335876465, 0.9132999777793884, 0.9132999777793884, 0.9137666821479797, 0.9406999945640564, 0.942300021648407, 0.9433000087738037, 0.9434166550636292, 0.9434833526611328, 0.9434833526611328, 0.9434833526611328, 0.9434833526611328, 0.9434833526611328, 0.9434833526611328]"
7,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.8350333571434021, 0.8871166706085205, 0.8871166706085205, 0.88878333568573, 0.889116644859314, 0.9225500226020813, 0.9809666872024536, 0.9809666872024536, 0.9809666872024536, 0.9938499927520752, 0.9953333139419556, 0.9953333139419556, 0.9953333139419556, 0.9953333139419556, 0.9953500032424927, 0.9953500032424927, 0.9953500032424927, 0.9953500032424927, 0.9953500032424927, 0.9953500032424927]"
8,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.6361333131790161, 0.6361333131790161, 0.6373500227928162, 0.6373500227928162, 0.6653333306312561, 0.8233833312988281, 0.859749972820282, 0.8600833415985107, 0.8600833415985107, 0.8600833415985107, 0.8601499795913696, 0.8644166588783264, 0.8644166588783264, 0.8644166588783264, 0.8748499751091003, 0.883650004863739, 0.883650004863739, 0.8847500085830688, 0.8848666548728943, 0.8849166631698608]"
9,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.5636500120162964, 0.6638333201408386, 0.7727166414260864, 0.8056166768074036, 0.807116687297821, 0.809583306312561, 0.8138333559036255, 0.9089833498001099, 0.9089833498001099, 0.9100000262260437, 0.9109333157539368, 0.9113166928291321, 0.9113166928291321, 0.9113166928291321, 0.951449990272522, 0.9519666433334351, 0.9523166418075562, 0.9526000022888184, 0.9526000022888184, 0.9526666402816772]"
10,10,20,20,tournament_sel,arithmetic_xo,inversion_mutation,0.9,0.1,4,"[0.8503000140190125, 0.8687333464622498, 0.8687333464622498, 0.8997833132743835, 0.9351833462715149, 0.953083336353302, 0.9584000110626221, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083, 0.9627000093460083]"
1,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.9517833590507507, 0.9517833590507507, 0.9523666501045227, 0.9653833508491516, 0.9653833508491516, 0.9722166657447815, 0.9746666550636292, 0.9839166402816772, 0.9839166402816772, 0.9839166402816772, 0.9848333597183228, 0.9886666536331177, 0.9886666536331177, 0.9903666377067566, 0.9919333457946777, 0.9956833124160767, 0.9960500001907349, 0.9965500235557556, 0.9965500235557556, 0.9965500235557556]"
2,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.6353166699409485, 0.7115333080291748, 0.8759166598320007, 0.8850833177566528, 0.8887333273887634, 0.8887333273887634, 0.8996666669845581, 0.8996666669845581, 0.9212666749954224, 0.9212666749954224, 0.9247333407402039, 0.9285500049591064, 0.929016649723053, 0.946483314037323, 0.946483314037323, 0.9495999813079834, 0.9599666595458984, 0.9599666595458984, 0.9641500115394592, 0.9641500115394592]"
3,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.8163166642189026, 0.822616696357727, 0.852066695690155, 0.8641499876976013, 0.876883327960968, 0.8865333199501038, 0.9184666872024536, 0.9184666872024536, 0.9423499703407288, 0.9469833374023438, 0.9469833374023438, 0.9533833265304565, 0.9533833265304565, 0.9569500088691711, 0.9645166397094727, 0.9677666425704956, 0.9740166664123535, 0.9767166376113892, 0.9776999950408936, 0.9814333319664001]"
4,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.5526166558265686, 0.6606666445732117, 0.6606666445732117, 0.8199999928474426, 0.8199999928474426, 0.8199999928474426, 0.8772333264350891, 0.8772333264350891, 0.8921666741371155, 0.9034333229064941, 0.9244833588600159, 0.9298999905586243, 0.932783305644989, 0.9357166886329651, 0.9468500018119812, 0.960016667842865, 0.960016667842865, 0.9601166844367981, 0.9601166844367981, 0.9601166844367981]"
5,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.5879499912261963, 0.7256500124931335, 0.7256500124931335, 0.7383166551589966, 0.7383333444595337, 0.7416999936103821, 0.7668833136558533, 0.7806833386421204, 0.7854833602905273, 0.8313999772071838, 0.8314999938011169, 0.8388833403587341, 0.8388833403587341, 0.8507500290870667, 0.8507999777793884, 0.8590666651725769, 0.8611000180244446, 0.861549973487854, 0.8703500032424927, 0.8787333369255066]"
6,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.6531000137329102, 0.6531000137329102, 0.6804500222206116, 0.6930000185966492, 0.7711166739463806, 0.771133303642273, 0.7722499966621399, 0.7722499966621399, 0.7770500183105469, 0.7790666818618774, 0.8004166483879089, 0.8004166483879089, 0.8032000064849854, 0.8032000064849854, 0.8032000064849854, 0.8394833207130432, 0.8396999835968018, 0.8413166403770447, 0.8525500297546387, 0.8816666603088379]"
7,10,20,20,tournament_sel,single_point_co,arithmetic_mutation,0.9,0.1,4,"[0.8087666630744934, 0.8087666630744934, 0.848550021648407, 0.848550021648407, 0.8860499858856201, 0.8860499858856201, 0.8860499858856201, 0.8881666660308838, 0.909500002861023, 0.9150333404541016, 0.9150333404541016, 0.9221500158309937, 0.932616651058197, 0.950083315372467, 0.950083315372467, 0.9594666957855225, 0.9594666957855225, 0.9628333449363708, 0.9642500281333923, 0.9691166877746582]"
