run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
11,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.36418333649635315, 0.3841666579246521, 0.6837999820709229, 0.6837999820709229, 0.6837999820709229, 0.6941333413124084, 0.754883348941803, 0.754883348941803, 0.7815166711807251, 0.7910166382789612, 0.7910166382789612, 0.8295166492462158, 0.8295166492462158, 0.833050012588501, 0.833050012588501, 0.8879166841506958, 0.8983833193778992, 0.8983833193778992, 0.9237333536148071, 0.9237333536148071]"
12,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.4779166579246521, 0.4779166579246521, 0.4926166534423828, 0.5010499954223633, 0.5046166777610779, 0.6285499930381775, 0.6934833526611328, 0.6934833526611328, 0.6934833526611328, 0.6934833526611328, 0.6934833526611328, 0.72079998254776, 0.8001833558082581, 0.8001833558082581, 0.8001833558082581, 0.821566641330719, 0.821566641330719, 0.8353666663169861, 0.8778166770935059, 0.8967833518981934]"
13,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.8901333212852478, 0.8901333212852478, 0.8903499841690063, 0.9584833383560181, 0.9584833383560181, 0.971833348274231, 0.971833348274231, 0.971833348274231, 0.971833348274231, 0.9846833348274231, 0.9846833348274231, 0.9904500246047974, 0.9904500246047974, 0.9904500246047974, 0.9904500246047974, 0.9925000071525574, 0.9935333132743835, 0.9938333630561829, 0.9949166774749756, 0.9952999949455261]"
14,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.70660001039505, 0.70660001039505, 0.8115333318710327, 0.8115333318710327, 0.9017833471298218, 0.9017833471298218, 0.9143833518028259, 0.9549499750137329, 0.9549499750137329, 0.9549499750137329, 0.9549499750137329, 0.9727166891098022, 0.9797499775886536, 0.9847333431243896, 0.9879000186920166, 0.9879000186920166, 0.9888833165168762, 0.9920666813850403, 0.9933833479881287, 0.9934499859809875]"
15,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.4689333438873291, 0.580049991607666, 0.5905333161354065, 0.6545500159263611, 0.6578666567802429, 0.6660833358764648, 0.779449999332428, 0.779449999332428, 0.779449999332428, 0.8097333312034607, 0.8097333312034607, 0.8436833620071411, 0.8675833344459534, 0.890250027179718, 0.932533323764801, 0.932533323764801, 0.932533323764801, 0.9441333413124084, 0.9441333413124084, 0.9682666659355164]"
16,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.7855833172798157, 0.8621000051498413, 0.9333166480064392, 0.9333166480064392, 0.9333500266075134, 0.9370999932289124, 0.9384333491325378, 0.9452999830245972, 0.9502999782562256, 0.954883337020874, 0.9686999917030334, 0.9686999917030334, 0.9782999753952026, 0.9807166457176208, 0.984333336353302, 0.9852499961853027, 0.9896000027656555, 0.990066647529602, 0.9901166558265686, 0.9908000230789185]"
17,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.6249833106994629, 0.6735000014305115, 0.6766166687011719, 0.7330333590507507, 0.7330333590507507, 0.749916672706604, 0.749916672706604, 0.749916672706604, 0.7633000016212463, 0.8150333166122437, 0.8150333166122437, 0.8150333166122437, 0.8707666397094727, 0.8756666779518127, 0.883733332157135, 0.9081000089645386, 0.9081000089645386, 0.9081000089645386, 0.9142166376113892, 0.9326666593551636]"
18,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.8894666433334351, 0.8894666433334351, 0.9262166619300842, 0.9262166619300842, 0.9262166619300842, 0.9262166619300842, 0.9262166619300842, 0.9277166724205017, 0.9326500296592712, 0.9326500296592712, 0.9432500004768372, 0.9512333273887634, 0.9540333151817322, 0.9540333151817322, 0.9548500180244446, 0.9684500098228455, 0.9722166657447815, 0.9722166657447815, 0.9722166657447815, 0.9761833548545837]"
19,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.6277833580970764, 0.785266637802124, 0.854533314704895, 0.854533314704895, 0.8789833188056946, 0.8789833188056946, 0.9466500282287598, 0.9466500282287598, 0.9466500282287598, 0.9466500282287598, 0.9471333622932434, 0.9646166563034058, 0.9751499891281128, 0.9813833236694336, 0.9892333149909973, 0.989300012588501, 0.9909833073616028, 0.9909833073616028, 0.9929666519165039, 0.9929666519165039]"
20,30,20,20,tournament_sel,arithmetic_xo,arithmetic_mutation,0.9,0.3,2,"[0.3005000054836273, 0.34994998574256897, 0.42508333921432495, 0.42508333921432495, 0.42508333921432495, 0.42533332109451294, 0.4497166574001312, 0.4571000039577484, 0.5390499830245972, 0.5390499830245972, 0.6722000241279602, 0.6722000241279602, 0.7132166624069214, 0.8071833252906799, 0.8071833252906799, 0.8071833252906799, 0.8625166416168213, 0.8625166416168213, 0.865149974822998, 0.8853333592414856]"
