run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
2,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.9830999970436096, 0.9837166666984558, 0.988016664981842, 0.988016664981842, 0.9948166608810425, 0.9948166608810425, 0.9955333471298218, 0.9978500008583069, 0.9986666440963745, 0.9986666440963745, 0.9992499947547913, 0.9996833205223083, 0.9996833205223083, 0.9996833205223083, 0.9996833205223083, 0.9997833371162415, 0.9997833371162415, 0.9998000264167786, 0.9998166561126709, 0.9998833537101746]"
3,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.5894666910171509, 0.6341833472251892, 0.7110000252723694, 0.7110000252723694, 0.7775499820709229, 0.7890166640281677, 0.7890166640281677, 0.8095499873161316, 0.8170333504676819, 0.8210499882698059, 0.8210499882698059, 0.8210499882698059, 0.8898833394050598, 0.8898833394050598, 0.9074500203132629, 0.9074500203132629, 0.9099833369255066, 0.9123499989509583, 0.9181833267211914, 0.9181833267211914]"
4,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.879800021648407, 0.9158666729927063, 0.9158666729927063, 0.9167166948318481, 0.9575999975204468, 0.9608166813850403, 0.9608166813850403, 0.9675999879837036, 0.9717333316802979, 0.9717333316802979, 0.9731166958808899, 0.9731166958808899, 0.9800500273704529, 0.9800500273704529, 0.9823166728019714, 0.9827499985694885, 0.9827499985694885, 0.9827499985694885, 0.9827499985694885, 0.9827499985694885]"
5,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.4115166664123535, 0.7772166728973389, 0.7782333493232727, 0.7784833312034607, 0.819016695022583, 0.8299833536148071, 0.8654500246047974, 0.9010666608810425, 0.9230666756629944, 0.9237499833106995, 0.9419999718666077, 0.961483359336853, 0.961483359336853, 0.961483359336853, 0.9674666523933411, 0.9674666523933411, 0.9674666523933411, 0.9674666523933411, 0.9674666523933411, 0.9674666523933411]"
6,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.6312999725341797, 0.6312999725341797, 0.710433304309845, 0.7280499935150146, 0.7280499935150146, 0.774733304977417, 0.7749833464622498, 0.783466637134552, 0.8027333617210388, 0.8038666844367981, 0.8038666844367981, 0.8176166415214539, 0.8176166415214539, 0.8176166415214539, 0.8176166415214539, 0.8500333428382874, 0.8500333428382874, 0.8500333428382874, 0.8500333428382874, 0.8500333428382874]"
7,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.5359500050544739, 0.5359500050544739, 0.6223166584968567, 0.6640499830245972, 0.6657333374023438, 0.746999979019165, 0.746999979019165, 0.7951833605766296, 0.795199990272522, 0.845216691493988, 0.8596833348274231, 0.8616333603858948, 0.8971166610717773, 0.9024333357810974, 0.9024333357810974, 0.921999990940094, 0.921999990940094, 0.9407666921615601, 0.9407666921615601, 0.9464333057403564]"
8,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.41651666164398193, 0.4897833466529846, 0.6408500075340271, 0.6410166621208191, 0.7613499760627747, 0.7613499760627747, 0.7989500164985657, 0.8168333172798157, 0.8242999911308289, 0.8459333181381226, 0.8459333181381226, 0.88878333568573, 0.88878333568573, 0.88878333568573, 0.88878333568573, 0.88878333568573, 0.8992499709129333, 0.9061499834060669, 0.9271000027656555, 0.9346833229064941]"
9,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.4323500096797943, 0.5576333403587341, 0.5709666609764099, 0.760200023651123, 0.760200023651123, 0.8650500178337097, 0.8650500178337097, 0.8650500178337097, 0.8650500178337097, 0.8650500178337097, 0.8650500178337097, 0.8650500178337097, 0.8650500178337097, 0.8676499724388123, 0.8676499724388123, 0.8676499724388123, 0.8676499724388123, 0.8676499724388123, 0.8676499724388123, 0.9769499897956848]"
10,10,20,20,fps,single_point_co,arithmetic_mutation,0.9,0.3,,"[0.6675000190734863, 0.6675000190734863, 0.7871833443641663, 0.8471166491508484, 0.8585000038146973, 0.8597666621208191, 0.8597666621208191, 0.8845666646957397, 0.8845666646957397, 0.9038166403770447, 0.9253833293914795, 0.9253833293914795, 0.9349666833877563, 0.9499666690826416, 0.9544000029563904, 0.9545166492462158, 0.9545166492462158, 0.9630500078201294, 0.9657166600227356, 0.968916654586792]"
1,10,20,20,fps,arithmetic_xo,inversion_mutation,0.9,0.3,,"[0.8345166444778442, 0.8345166444778442, 0.8345166444778442, 0.8360333442687988, 0.8372499942779541, 0.8764333128929138, 0.890500009059906, 0.9256666898727417, 0.9320166707038879, 0.9678000211715698, 0.9678000211715698, 0.9678000211715698, 0.9779499769210815, 0.9779499769210815, 0.9780666828155518, 0.9783999919891357, 0.983299970626831, 0.983299970626831, 0.983299970626831, 0.983299970626831]"
