run_number,total_runs,pop_size,gens,select,crossover,mutate,xo_prob,mut_prob,tourn_size,best_fitness_lst
1,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.8625666499137878, 0.8625666499137878, 0.8889666795730591, 0.9656999707221985, 0.98253333568573, 0.98253333568573, 0.9973333477973938, 0.9973333477973938, 0.9996833205223083, 0.9996833205223083, 0.9996833205223083, 0.9996833205223083, 0.9998499751091003, 0.999916672706604, 0.9999499917030334, 0.9999499917030334, 0.9999666810035706, 0.9999666810035706, 1.0, 1.0]"
2,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.9311333298683167, 0.9311333298683167, 0.9645833373069763, 0.9657166600227356, 0.9661833047866821, 0.9979666471481323, 0.9979666471481323, 0.9993833303451538, 0.9998499751091003, 0.9998833537101746, 0.9999333620071411, 0.9999666810035706, 0.9999833106994629, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
3,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.6508333086967468, 0.6508333086967468, 0.8123833537101746, 0.8634666800498962, 0.869783341884613, 0.869783341884613, 0.9747166633605957, 0.9747166633605957, 0.9747166633605957, 0.9867333173751831, 0.9874500036239624, 0.9978166818618774, 0.9978166818618774, 0.9993333220481873, 0.9999333620071411, 0.9999333620071411, 0.9999833106994629, 1.0, 1.0, 1.0]"
4,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.5752666592597961, 0.8314499855041504, 0.9346833229064941, 0.9733333587646484, 0.9898333549499512, 0.9899333119392395, 0.9967333078384399, 0.9985833168029785, 0.9988999962806702, 0.9995833039283752, 0.9999333620071411, 0.9999333620071411, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 1.0, 1.0, 1.0, 1.0]"
5,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.47146666049957275, 0.8607333302497864, 0.8725500106811523, 0.8774166703224182, 0.9549499750137329, 0.9549499750137329, 0.9960166811943054, 0.9972500205039978, 0.9990333318710327, 0.9994500279426575, 0.999833345413208, 0.999833345413208, 0.9999333620071411, 0.9999333620071411, 0.9999666810035706, 0.9999666810035706, 0.9999833106994629, 0.9999833106994629, 1.0, 1.0]"
6,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.8305666446685791, 0.8305666446685791, 0.9710999727249146, 0.9710999727249146, 0.9892666935920715, 0.9892666935920715, 0.9899500012397766, 0.9972333312034607, 0.9972333312034607, 0.9991666674613953, 0.9992499947547913, 0.9996166825294495, 0.9996500015258789, 0.9999333620071411, 0.9999333620071411, 0.9999499917030334, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629, 0.9999833106994629]"
7,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.49541667103767395, 0.6597499847412109, 0.712233304977417, 0.732783317565918, 0.9310500025749207, 0.9310500025749207, 0.9661833047866821, 0.9887999892234802, 0.9887999892234802, 0.9973499774932861, 0.9980833530426025, 0.9992333054542542, 0.9995833039283752, 0.9998833537101746, 0.9998833537101746, 0.9998833537101746, 0.9999499917030334, 0.9999499917030334, 0.9999833106994629, 1.0]"
8,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.6819999814033508, 0.7112166881561279, 0.9400500059127808, 0.9400500059127808, 0.9706166386604309, 0.9922666549682617, 0.9922666549682617, 0.9951666593551636, 0.999666690826416, 0.999666690826416, 0.999666690826416, 0.9997166395187378, 0.9997833371162415, 0.999916672706604, 0.9999833106994629, 0.9999833106994629, 1.0, 1.0, 1.0, 1.0]"
9,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.7115166783332825, 0.7725833058357239, 0.8204166889190674, 0.9814666509628296, 0.9815999865531921, 0.9969666600227356, 0.9969666600227356, 0.9988499879837036, 0.9995999932289124, 0.9995999932289124, 0.9996500015258789, 0.9998499751091003, 0.9999499917030334, 0.9999499917030334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,10,20,20,tournament_sel,uniform_crossover,inversion_mutation,0.9,0.3,4,"[0.8286833167076111, 0.8530499935150146, 0.9383333325386047, 0.9383333325386047, 0.9499499797821045, 0.970216691493988, 0.994350016117096, 0.994350016117096, 0.9969833493232727, 0.9977333545684814, 0.9998166561126709, 0.9998166561126709, 0.9999499917030334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
